Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
pilot16, Female, Spatial, 1, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.371194, -5.364071, 1.212401, , , 
pilot16, Female, Spatial, 2, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 4.133841, -9.23175, 6.582887, , , 
pilot16, Female, Spatial, 3, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.943633, 8.394782, 2.756366, , , 
pilot16, Female, Spatial, 4, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 4.653754, -6.923814, 2.819173, , , 
pilot16, Female, Spatial, 5, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, -0.7229528, -6.353153, 2.384562, , , 
pilot16, Female, Spatial, 6, far_r_midmid_bottom, -51, 0.086, 4.55, -51, -0.2791288, 5.807904, 1.309825, , , 
pilot16, Female, Temporal, 1, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 5.8869106, 0.9169106
pilot16, Female, Temporal, 2, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 2.208346, -6.041654
pilot16, Female, Temporal, 3, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 2.6223086, 0.8923086
pilot16, Female, Temporal, 4, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 4.176491, -4.073509
pilot16, Female, Temporal, 5, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 2.7187678, 0.9887678
pilot16, Female, Temporal, 6, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 1.5984003, -3.3715997
pilot16, Female, Spatial, 1, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 2.33314, 6.353168, 1.24377, , , 
pilot16, Female, Spatial, 2, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.510695, -6.98724, 2.153488, , , 
pilot16, Female, Spatial, 3, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.700904, 7.469074, 1.529113, , , 
pilot16, Female, Spatial, 4, far_l_mid_mid, -51, 3.02, -2.86, -51, 3.677348, -4.172055, 1.467513, , , 
pilot16, Female, Spatial, 5, mid_l_top, -27.05, 4.48, -5.4, -27.05, 5.363897, -6.441919, 1.366335, , , 
pilot16, Female, Spatial, 6, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 2.91646, 7.824161, 1.998557, , , 
pilot16, Female, Temporal, 1, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 1.6142658, -0.1157342
pilot16, Female, Temporal, 2, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 3.9665982, -1.0034018
pilot16, Female, Temporal, 3, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 2.1590728, 0.4290728
pilot16, Female, Temporal, 4, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 2.2726418, -2.6973582
pilot16, Female, Temporal, 5, far_l_midmid_top, -51, 4.48, -4.11, , , , ,8.25, 1.9669211, -6.2830789
pilot16, Female, Temporal, 6, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 2.8781444, -5.3718556
pilot16, Female, Spatial, 1, front_l_top_mid, -1.78, 3.36, -5.31, -1.78, -0.7990613, -7.177433, 4.559068, , , 
pilot16, Female, Spatial, 2, far_l_midmid_bottom, -51, 0.086, -4.11, -51, -0.532758, -6.467319, 2.437173, , , 
pilot16, Female, Spatial, 3, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 2.586758, 8.445529, 2.883282, , , 
pilot16, Female, Spatial, 4, far_r_mid_top, -51, 4.48, 3.09, -51, 5.757035, 3.499959, 1.341226, , , 
pilot16, Female, Spatial, 5, mid_r_midmid_bottom, -27.05, 0.086, 4.55, -27.05, -0.4059281, 5.566933, 1.129666, , , 
pilot16, Female, Spatial, 6, mid_l_top, -27.05, 4.48, -5.4, -27.05, 1.661062, -6.226343, 2.93756, , , 
pilot16, Female, Temporal, 1, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 2.4291973, -5.8208027
pilot16, Female, Temporal, 2, far_r_top_mid, -51, 3.36, 5.94, , , , ,8.25, 2.6231556, -5.6268444
pilot16, Female, Temporal, 3, front_l_mid, -1.78, 2.48, -5.31, , , , ,1.73, 2.8950206, 1.1650206
pilot16, Female, Temporal, 4, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 2.6239201, 0.8939201
pilot16, Female, Temporal, 5, front_l_midmid_bottom, -1.78, 0.086, -4.11, , , , ,1.73, 2.6058914, 0.8758914
pilot16, Female, Temporal, 6, front_r_bottom, -1.78, 0.086, 5.94, , , , ,1.73, 1.7421014, 0.0121013999999999
pilot16, Female, Spatial, 1, front_l_top, -1.78, 4.48, -5.31, -1.78, 4.920057, -5.858612, 0.7032959, , , 
pilot16, Female, Spatial, 2, far_l_mid_bottom, -51, 0.086, -2.86, -51, -0.7356453, -4.996321, 2.288879, , , 
pilot16, Female, Spatial, 3, far_r_midmid_top, -51, 4.48, 4.55, -51, 6.543255, 4.451035, 2.065627, , , 
pilot16, Female, Spatial, 4, front_r_mid_bottom, -1.78, 0.086, 3.09, -1.780002, -0.367907, 5.871291, 2.818087, , , 
pilot16, Female, Spatial, 5, mid_l_bottom_mid, -27.05, 1.16, -5.31, -27.05, 1.458175, -7.13937, 1.853512, , , 
pilot16, Female, Spatial, 6, mid_r_bottom, -27.05, 0.086, 5.94, -27.05, -0.2917995, 7.557839, 1.661366, , , 
pilot16, Female, Temporal, 1, far_l_top_mid, -51, 3.36, -5.31, , , , ,8.25, 1.1371563, -7.1128437
pilot16, Female, Temporal, 2, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 1.0209377, -0.7090623
pilot16, Female, Temporal, 3, far_r_midmid_top, -51, 4.48, 4.55, , , , ,8.25, 1.2941932, -6.9558068
pilot16, Female, Temporal, 4, mid_r_midmid_bottom, -27.05, 0.086, 4.55, , , , ,4.97, 4.1767859, -0.7932141
pilot16, Female, Temporal, 5, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 4.3678848, 2.6378848
pilot16, Female, Temporal, 6, far_l_top, -51, 4.48, -5.417, , , , ,8.25, 3.9678644, -4.2821356
pilot16, Female, Spatial, 1, front_l_mid_top, -1.78, 4.48, -2.86, -1.78, 5.122954, -2.815177, 0.6445149, , , 
pilot16, Female, Spatial, 2, mid_r_bottom_mid, -27.05, 1.16, 5.94, -27.05, 2.155622, 7.545158, 1.888861, , , 
pilot16, Female, Spatial, 3, far_r_mid_mid, -51, 3.02, 3.09, -51, 1.902002, 5.909351, 3.032929, , , 
pilot16, Female, Spatial, 4, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.575887, 8.128482, 2.360985, , , 
pilot16, Female, Spatial, 5, front_l_bottom_mid, -1.78, 1.16, -5.31, -1.78, 0.3802638, -7.938291, 2.741515, , , 
pilot16, Female, Spatial, 6, far_r_top_mid, -51, 3.36, 5.94, -51, 3.753431, 6.302463, 0.5349458, , , 
pilot16, Female, Temporal, 1, mid_r_mid_top, -27.05, 4.48, 3.09, , , , ,4.97, 3.4071503, -1.5628497
pilot16, Female, Temporal, 2, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 1.9841164, 0.2541164
pilot16, Female, Temporal, 3, far_r_bottom, -51, 0.086, 5.94, , , , ,8.25, 2.4466346, -5.8033654
pilot16, Female, Temporal, 4, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 3.3570172, -4.8929828
pilot16, Female, Temporal, 5, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 5.7573817, 0.7873817
pilot16, Female, Temporal, 6, front_l_midmid_top, -1.78, 4.48, -4.11, , , , ,1.73, 2.3180161, 0.5880161
pilot16, Female, 
