Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
SONA2, Male, 1, Abacus_01, -1.78, 0.086, 4.55, -1.780002, 1.61032, 3.601396, 1.795384, 1.73, 2.5598954, 0.8298954, Ball_01, -51, 3.02, -2.86, -51, 2.269751, 1.356867, 4.283088, 8.25, 4.4633422, -3.7866578, Car_03, -27.05, 4.48, 4.55, -27.05, 3.258862, -2.257209, 6.915871, 4.97, 4.6853172, -0.2846828
SONA2, Male, 2, Boat_01, -51, 3.02, 3.09, -51, 2.421926, 0.7101349, 2.453864, 8.25, 9.1982823, 0.948282299999999, Doll_01, -27.05, 0.086, -5.4, -27.05, 2.117576, -2.891256, 3.228173, 4.97, 3.3262634, -1.6437366, Bee_01, -1.78, 3.36, -5.31, -1.78, 2.345815, -3.626759, 1.965164, 1.73, 1.3755923, -0.3544077
SONA2, Male, 3, Boomerang_01, -51, 3.02, 3.09, -51, 2.396565, 0.7228172, 2.447902, 8.25, 7.8723859, -0.377614100000001, Basketball_01, -1.78, 2.48, -5.31, -1.780001, 2.206326, -1.648528, 3.671685, 1.73, 2.591247, 0.861247, Car_02, -27.05, 1.16, 5.94, -27.05, 2.24439, 0.3043411, 5.739038, 4.97, 6.2867698, 1.3167698
SONA2, Male, 4, Bucket_01, -1.78, 0.086, 3.09, -1.780001, 1.952707, 0.9257103, 2.858102, 1.73, 6.078839, 4.348839, Ball_02, -51, 4.48, 5.94, -51, 2.168307, 0.9130325, 5.533021, 8.25, 6.4461668, -1.8038332, Bunny_01, -27.05, 0.086, -2.86, -27.05, 1.458175, -0.7735385, 2.497236, 4.97, 4.46373, -0.50627
SONA2, Male, 5, Car_04, -1.78, 4.48, -2.86, -1.78, 4.197238, -3.297054, 0.5205487, 1.73, 1.6485428, -0.0814572, Dinosaur_01, -51, 4.48, -5.417, -51, 2.675546, -1.217379, 4.570872, 8.25, 4.6549374, -3.5950626, Darts_01, -27.05, 3.36, 5.94, -27.05, 2.206344, 2.637635, 3.498076, 4.97, 4.5937839, -0.3762161
SONA2, Male, 6, Fish_01, -51, 1.16, -5.31, -51, 2.142936, -1.192017, 4.233669, 8.25, 8.766569, 0.516568999999999, Doll_03, -1.78, 1.16, 5.94, -1.780002, 2.599434, 5.566947, 1.48699, 1.73, 3.4851565, 1.7551565, DumpTruck_01, -27.05, 4.48, 5.94, -27.05, 3.144733, 2.066993, 4.096721, 4.97, 5.7428345, 0.7728345
SONA2, Male, 7, Horse_01, -51, 3.36, 5.94, -51, 2.815036, 1.826065, 4.149874, 8.25, 6.7035118, -1.5464882, Helicopter_01, -1.78, 0.086, -5.36, -1.78, 1.217212, -3.37314, 2.286319, 1.73, 2.561255, 0.831255, Doll_02, -27.05, 1.16, 5.94, -27.05, 2.231705, 2.345973, 3.75041, 4.97, 5.2805046, 0.3105046
SONA2, Male, 8, Plane_01, -51, 0.086, 5.94, -51, 1.179181, -4.184736, 10.18358, 8.25, 3.3105685, -4.9394315, Kite_01, -27.05, 4.48, 3.09, -27.05, 2.624822, 1.445626, 2.479043, 4.97, 4.9859115, 0.0159114999999996, Car_01, -1.78, 2.48, -5.31, -1.780001, 1.965393, 0.1775326, 5.511609, 1.73, 8.4473651, 6.7173651
SONA2, Male, 9, Robot_01, -1.78, 4.48, -2.86, -1.780001, 2.421908, -1.940191, 2.254283, 1.73, 3.0382797, 1.3082797, Rocket_01, -51, 0.086, 5.94, -51, 2.079539, 2.231857, 4.21005, 8.25, 9.9977341, 1.7477341, Shield_02, -27.05, 4.48, 4.55, -27.05, 1.91469, 1.470987, 4.007635, 4.97, 6.7036526, 1.7336526
SONA2, Male, 10, RollerSkate_01, -1.78, 1.16, 5.94, -1.780002, 2.802331, 5.224561, 1.791397, 1.73, 2.1909706, 0.4609706, RubberDuck_01, -51, 4.48, -2.86, -51, 1.5723, 2.181134, 5.8196, 8.25, 7.1670651, -1.0829349, Watergun_01, -27.05, 2.69, -5.4, -27.05, 2.979883, -5.262592, 0.3208003, 4.97, 6.2225119, 1.2525119
SONA2, Male, 11, RugbyBall_01, -1.78, 0.086, 3.09, -1.780001, 1.179166, 1.623163, 1.829377, 1.73, 1.9674092, 0.2374092, Sheep_01, -27.05, 2.69, 5.94, -27.05, 2.333158, 1.534392, 4.420036, 4.97, 3.3756029, -1.5943971, Watergun_02, -51, 3.02, -5.3744, -51, 2.586778, -1.445637, 3.952577, 8.25, 6.6700865, -1.5799135
SONA2, Male, 12, Shield_01, -1.78, 4.48, 3.09, -1.780001, 1.863939, 2.168446, 2.773633, 1.73, 0.0321034, -1.6978966, ToyBlocks_01, -51, 3.02, 5.94, -51, 1.927363, 0.5579636, 5.491827, 8.25, 7.2167744, -1.0332256, TeddyBear_01, -27.05, 0.086, -4.11, -27.05, 1.128465, -1.559757, 2.755081, 4.97, 2.7020601, -2.2679399
SONA2, Male, 13, Watergun_03, -51, 4.48, 3.09, -51, 2.523371, 1.204696, 2.717125, 8.25, 8.4947028, 0.244702799999999, ToyStacker_01, -1.78, 4.48, 5.94, -1.780002, 3.068635, 3.588716, 2.742351, 1.73, 3.4236174, 1.6936174, ToyTrumpet_01, -27.05, 4.48, -5.4, -27.05, 2.434601, -2.016271, 3.953895, 4.97, 5.1848187, 0.2148187
SONA2, Male, 14, FrenchHorn_01, -51, 0.086, 3.09, -51, 1.85128, 0.6467308, 3.014262, 8.25, 6.5269077, -1.7230923, CongaDrum_01, -27.05, 0.086, -5.4, -27.05, 1.470851, 1.420264, 6.959441, 4.97, 6.0016232, 1.0316232, Bell_01, -1.78, 4.48, -4.11, -1.78, 0.2915057, -3.436545, 4.24229, 1.73, 3.3607858, 1.6307858
SONA2, Male, 15, Maraca_01, -27.05, 3.36, -5.31, -27.05, 2.929161, -2.81517, 2.531758, 4.97, 2.4311379, -2.5388621, Headphones_01, -1.78, 0.086, -2.86, -1.780001, 1.344026, 1.179329, 4.230698, 1.73, 3.6143021, 1.8843021, Microphone_01, -51, 4.48, 3.09, -51, 1.787873, 0.5960061, 3.669816, 8.25, 7.2316559, -1.0183441
SONA2, Male, 16, PanFlute_01, -27.05, 2.69, -2.86, -27.05, 1.661062, -1.153967, 1.992301, 4.97, 3.5514667, -1.4185333, Phonograph_01, -51, 0.086, 3.09, -51, 1.686429, 0.6467308, 2.920777, 8.25, 6.3195814, -1.9304186, Radio_01, -1.78, 1.16, -5.31, -1.78, 0.4943925, -4.539789, 1.017967, 1.73, 3.5358786, 1.8058786
SONA2, Male, 17, SingleDrum_01, -1.78, 0.086, 5.94, -1.780002, 0.9382325, 3.601396, 2.48905, 1.73, 2.3838496, 0.6538496, Tuba_01, -51, 0.086, -5.41, -51, 1.85128, -0.6847758, 5.0442, 8.25, 6.6400223, -1.6099777, Tambourine_01, -27.05, 2.69, 5.94, -27.05, 2.295112, 2.345973, 3.615655, 4.97, 5.136082, 0.166082
SONA2, Male, 18, Trumpet_01, -1.78, 2.48, -2.86, -1.78, 1.940032, -2.992711, 0.5560378, 1.73, 2.752618, 1.022618, CongaDrum_02, -51, 1.16, 5.94, -51, 1.635697, 1.521721, 4.443814, 8.25, 6.9755974, -1.2744026, Casette_01, -27.05, 1.16, -5.31, -27.05, 1.306001, -2.764446, 2.549737, 4.97, 5.6967843, 0.7267843
SONA2, Male, 19, DoubleBass_01, -1.78, 2.25, 5.94, -1.780002, 3.423707, 5.516224, 1.247868, 1.73, 5.519283, 3.789283, Harmonica_01, -51, 3.02, 3.09, -51, 2.38388, 0.4691964, 2.696898, 8.25, 7.2478317, -1.0021683, Gong_01, -27.05, 1.16, -5.31, -27.05, 1.572304, -1.648524, 3.684617, 4.97, 4.6059328, -0.3640672
SONA2, Male, 20, Harp_01, -1.78, 4.48, 4.55, -1.780001, 4.007027, 1.864103, 2.727224, 1.73, 5.5045642, 3.7745642, CongaDrum_03, -51, 1.16, -5.31, -51, 1.673744, -1.331508, 4.011525, 8.25, 7.2131054, -1.0368946, Saxophone_01, -27.05, 0.086, -4.11, -27.05, 1.394768, -2.066994, 2.426262, 4.97, 4.015893, -0.954107
SONA2, Male, 21, IceCream02 (1), -27.05, 1.16, -5.31, -27.05, 3.360315, -2.510828, 3.560442, 4.97, 3.3270388, -1.6429612, RacoonPlush_01 (1), -1.78, 4.48, -5.31, -1.78, 3.52515, -3.677484, 1.891256, 1.73, 2.2065286, 0.4765286, Avocado_01 (1), -51, 4.48, 3.09, -51, 2.548732, 1.521721, 2.48783, 8.25, 7.7592147, -0.490785300000001
