Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
Demo4, Male, 14, Bell_01, -1.78, 4.48, -4.11, -1.78, 3.771144, -7.403754, 3.369168, 1.73, 1.1363677, -0.5936323, FrenchHorn_01, -51, 0.086, 3.09, -51, 0.686268, 3.809141, 0.9367417, 8.25, 0.7181513, -7.5318487, CongaDrum_01, -27.05, 0.086, -5.4, -27.05, 0.699677, -3.795748, 1.717622, 4.97, 0.1108453, -4.8591547, 
Demo4, Male, 15, Headphones_01, -1.78, 0.086, -2.86, -1.78, -0.4001789, -5.177263, 2.367716, 1.73, 0.4962326, -1.2337674, Maraca_01, -27.05, 3.36, -5.31, -27.05, 2.91274, -2.776396, 2.572779, 4.97, 0.1436594, -4.8263406, Microphone_01, -51, 4.48, 3.09, -51, 1.088646, 5.660061, 4.255173, 8.25, 0.2871199, -7.9628801, 
Demo4, Male, 
