Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
SONA1, Female, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 1.229918, -7.418351, 13.43791, , , 
SONA1, Female, Spatial, 2, far_l_bottom_mid, -51, 1.16, -5.31, -51, 4.526975, -6.150294, 3.470247, , , 
SONA1, Female, Spatial, 3, front_l_mid_mid, -1.78, 2.48, -2.86, -1.780002, 1.027, 5.693758, 8.676289, , , 
SONA1, Female, Spatial, 4, far_r_midmid_bottom, -51, 0.086, 4.55, -51, -0.1649997, 6.036161, 1.507208, , , 
SONA1, Female, Spatial, 5, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 5.604831, -6.048825, 2.241492, , , 
SONA1, Female, Spatial, 6, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, -0.5961387, -7.278861, 3.241449, , , 
SONA1, Female, Temporal, 1, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 2.9897094, -5.2602906
SONA1, Female, Temporal, 2, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 2.3987424, -2.5712576
SONA1, Female, Temporal, 3, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 3.7591255, 2.0291255
SONA1, Female, Temporal, 4, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 3.69592, -1.27408
SONA1, Female, Temporal, 5, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 6.0323111, 4.3023111
SONA1, Female, Temporal, 6, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 3.0207062, -5.2292938
SONA1, Female, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 1.166511, 7.342264, 2.070595, , , 
SONA1, Female, Spatial, 2, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.700907, -8.420194, 3.470979, , , 
SONA1, Female, Spatial, 3, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 2.599434, 4.983622, 1.728187, , , 
SONA1, Female, Spatial, 4, far_l_mid_mid, -51, 3.02, -2.86, -51, 2.447288, -2.371351, 0.7528459, , , 
SONA1, Female, Spatial, 5, front_r_mid, -1.78, 2.25, 5.94, -1.78, -0.5581281, -7.583224, 13.8117, , , 
SONA1, Female, Spatial, 6, mid_l_top, -27.05, 4.48, -5.4, -27.05, 2.041493, -8.483549, 3.931232, , , 
SONA1, Female, Temporal, 1, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 2.3178147, 0.5878147
SONA1, Female, Temporal, 2, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 4.6083061, -0.3616939
SONA1, Female, Temporal, 3, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 3.3422586, 1.6122586
SONA1, Female, Temporal, 4, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 4.5593306, -3.6906694
SONA1, Female, Temporal, 5, far_l_midmid_top, -51, 4.48, -4.11, , , , ,8.25, 5.390154, -2.859846
SONA1, Female, Temporal, 6, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 3.375911, -1.594089
SONA1, Female, Spatial, 1, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 0.6465673, 6.847726, 1.042871, , , 
SONA1, Female, Spatial, 2, front_l_top_mid, -1.78, 3.36, -5.31, -1.78, 4.767882, -6.936494, 2.15119, , , 
SONA1, Female, Spatial, 3, far_l_midmid_bottom, -51, 0.086, -4.11, -51, -0.5454335, -7.076007, 3.032475, , , 
SONA1, Female, Spatial, 4, mid_l_top, -27.05, 4.48, -5.4, -27.05, 0.5324612, 6.796983, 12.81989, , , 
SONA1, Female, Spatial, 5, far_r_mid_top, -51, 4.48, 3.09, -51, 4.920084, -4.615891, 7.718447, , , 
SONA1, Female, Spatial, 6, mid_r_midmid_bottom, -27.05, 0.086, 4.55, -27.05, 2.066854, -6.112214, 10.84466, , , 
SONA1, Female, Temporal, 1, front_l_mid, -1.78, 2.48, -5.31, , , , ,1.73, 4.6211701, 2.8911701
SONA1, Female, Temporal, 2, far_r_top_mid, -51, 3.36, 5.94, , , , ,8.25, 6.2873509, -1.9626491
SONA1, Female, Temporal, 3, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 6.6389023, -1.6110977
SONA1, Female, Temporal, 4, front_l_midmid_bottom, -1.78, 0.086, -4.11, , , , ,1.73, 2.8487671, 1.1187671
SONA1, Female, Temporal, 5, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 3.4056249, 1.6756249
SONA1, Female, Temporal, 6, front_r_bottom, -1.78, 0.086, 5.94, , , , ,1.73, 2.0451435, 0.3151435
SONA1, Female, Spatial, 1, front_l_top, -1.78, 4.48, -5.31, -1.78, 4.932733, -6.758961, 1.518043, , , 
SONA1, Female, Spatial, 2, far_r_midmid_top, -51, 4.48, 4.55, -51, 6.251589, 5.300663, 1.924064, , , 
SONA1, Female, Spatial, 3, far_l_mid_bottom, -51, 0.086, -2.86, -51, 0.9382466, -6.403913, 3.644948, , , 
SONA1, Female, Spatial, 4, mid_r_bottom, -27.05, 0.086, 5.94, -27.05, 0.139354, 5.833231, 0.1193574, , , 
SONA1, Female, Spatial, 5, mid_l_bottom_mid, -27.05, 1.16, -5.31, -27.05, 1.191872, -5.51621, 0.2086587, , , 
SONA1, Female, Spatial, 6, front_r_mid_bottom, -1.78, 0.086, 3.09, -1.780002, -0.2664638, 5.465499, 2.401505, , , 
SONA1, Female, Temporal, 1, far_l_top_mid, -51, 3.36, -5.31, , , , ,8.25, 5.6609682, -2.5890318
SONA1, Female, Temporal, 2, far_r_midmid_top, -51, 4.48, 4.55, , , , ,8.25, 5.2138851, -3.0361149
SONA1, Female, Temporal, 3, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 5.7109495, 3.9809495
SONA1, Female, Temporal, 4, mid_r_midmid_bottom, -27.05, 0.086, 4.55, , , , ,4.97, 6.3840361, 1.4140361
SONA1, Female, Temporal, 5, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 6.1605133, 4.4305133
SONA1, Female, Temporal, 6, far_l_top, -51, 4.48, -5.417, , , , ,8.25, 5.4700473, -2.7799527
SONA1, Female, Spatial, 1, mid_r_bottom_mid, -27.05, 1.16, 5.94, -27.05, 5.351222, -5.427444, 12.11549, , , 
SONA1, Female, Spatial, 2, far_r_mid_mid, -51, 3.02, 3.09, -51, 4.247994, 3.525321, 1.302872, , , 
SONA1, Female, Spatial, 3, front_l_mid_top, -1.78, 4.48, -2.86, -1.78, 3.258846, -7.621266, 4.915371, , , 
SONA1, Female, Spatial, 4, front_l_bottom_mid, -1.78, 1.16, -5.31, -1.78, 0.7860576, -5.83325, 0.6431354, , , 
SONA1, Female, Spatial, 5, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.815032, 5.047014, 0.9016971, , , 
SONA1, Female, Spatial, 6, far_r_top_mid, -51, 3.36, 5.94, -51, 3.19547, 6.086886, 0.2205571, , , 
SONA1, Female, Temporal, 1, mid_r_mid_top, -27.05, 4.48, 3.09, , , , ,4.97, 8.0791936, 3.1091936
SONA1, Female, Temporal, 2, far_r_bottom, -51, 0.086, 5.94, , , , ,8.25, 4.7015493, -3.5484507
SONA1, Female, Temporal, 3, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 7.6794514, 5.9494514
SONA1, Female, Temporal, 4, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 6.5119867, 1.5419867
SONA1, Female, Temporal, 5, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 6.2717857, -1.9782143
SONA1, Female, Temporal, 6, front_l_midmid_top, -1.78, 4.48, -4.11, , , , ,1.73, 6.6552444, 4.9252444
SONA1, Female, 
