Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
control3, Female, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 1.432805, 8.483549, 2.837284, , , 
control3, Female, Spatial, 2, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 3.791455, -8.217273, 5.515459, , , 
control3, Female, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 1.800558, -10.06873, 4.801644, , , 
control3, Female, Spatial, 4, far_r_midmid_bottom, -51, 0.086, 4.55, -51, -0.4186292, 9.37127, 4.847607, , , 
control3, Female, Spatial, 5, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 7.608429, -11.47628, 8.003074, , , 
control3, Female, Spatial, 6, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, -1.813516, -9.9799, 6.169594, , , 
control3, Female, Temporal, 1, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 0.2864175, -7.9635825
control3, Female, Temporal, 2, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 0.3187895, -1.4112105
control3, Female, Temporal, 3, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 0.6061758, -4.3638242
control3, Female, Temporal, 4, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 4.6541596, -0.3158404
control3, Female, Temporal, 5, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 4.2409876, 2.5109876
control3, Female, Temporal, 6, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 3.6469241, -4.6030759
control3, Female, Spatial, 1, far_l_bottom_mid, -51, 1.16, -5.31, -51, 1.496207, -11.47632, 6.175476, , , 
control3, Female, Spatial, 2, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 0.05056214, 11.20998, 5.385496, , , 
control3, Female, Spatial, 3, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 5.972587, 11.0451, 6.069384, , , 
control3, Female, Spatial, 4, far_l_mid_mid, -51, 3.02, -2.86, -51, 7.557732, -11.65385, 9.895597, , , 
control3, Female, Spatial, 5, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 2.802331, 7.519818, 1.673587, , , 
