Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot5, Male, 1, Car_03, -27.05, 4.48, 4.55, -27.05, 1.661062, 4.768033, 2.827358, 4.97, 2.1914826, -2.7785174, Ball_01, -51, 3.02, -2.86, -51, 2.409241, 2.802502, 5.695345, 8.25, 2.8477309, -5.4022691, Abacus_01, -1.78, 0.086, 4.55, -1.780002, 0.392949, 8.902045, 4.362856, 1.73, 1.7743252, 0.0443251999999998
pilot5, Male, 2, Bee_01, -1.78, 3.36, -5.31, -1.78, 1.44547, -5.364054, 1.915293, 1.73, 2.2245125, 0.4945125, Boat_01, -51, 3.02, 3.09, -51, 2.371194, 1.737297, 1.500251, 8.25, 3.8715147, -4.3784853, Doll_01, -27.05, 0.086, -5.4, -27.05, 1.74983, -3.360451, 2.632127, 4.97, 3.3124442, -1.6575558
pilot5, Male, 3, Boomerang_01, -51, 3.02, 3.09, -51, 0.9889684, -4.907554, 8.251422, 8.25, 2.0966097, -6.1533903, Car_02, -27.05, 1.16, 5.94, -27.05, 1.14115, 6.327789, 0.3882471, 4.97, 3.2642479, -1.7057521, Basketball_01, -1.78, 2.48, -5.31, -1.780001, 2.536037, -2.536196, 2.77437, 1.73, 3.5855338, 1.8555338
pilot5, Male, 4, Ball_02, -51, 4.48, 5.94, -51, 2.396565, 2.409391, 4.0995, 8.25, 5.631519, -2.618481, Bucket_01, -1.78, 0.086, 3.09, -1.780002, 1.394748, 5.440137, 2.689975, 1.73, 2.3665214, 0.6365214, Bunny_01, -27.05, 0.086, -2.86, -27.05, 0.6973115, -3.652112, 1.000572, 4.97, 2.2723453, -2.6976547
pilot5, Male, 5, Dinosaur_01, -51, 4.48, -5.417, -51, 2.307797, -1.876791, 4.153498, 8.25, 4.814119, -3.435881, Car_04, -1.78, 4.48, -2.86, -1.78, 2.282418, -3.297054, 2.240621, 1.73, 3.583883, 1.853883, Darts_01, -27.05, 3.36, 5.94, -27.05, 1.94005, 3.740876, 2.61771, 4.97, 3.0242573, -1.9457427
pilot5, Male, 6, Doll_03, -1.78, 1.16, 5.94, -1.780002, 0.8748251, 7.380328, 1.468288, 1.73, 1.8221024, 0.0921023999999999, DumpTruck_01, -27.05, 4.48, 5.94, -27.05, 2.130261, 3.474577, 3.405816, 4.97, 3.646783, -1.323217, Fish_01, -51, 1.16, -5.31, -51, 2.142936, -3.576047, 1.993177, 8.25, 3.53382, -4.71618
pilot5, Male, 7, Horse_01, -51, 3.36, 5.94, -51, 2.345834, 2.105047, 3.966787, 8.25, 5.0233245, -3.2266755, Doll_02, -27.05, 1.16, 5.94, -27.05, 1.77519, 4.222752, 1.824116, 4.97, 2.6861449, -2.2838551, Helicopter_01, -1.78, 0.086, -5.36, -1.78, 1.204527, -5.922016, 1.251784, 1.73, 2.7035495, 0.9735495
pilot5, Male, 8, Kite_01, -27.05, 4.48, 3.09, -27.05, 1.902004, 4.057901, 2.753706, 4.97, 2.5743104, -2.3956896, Car_01, -1.78, 2.48, -5.31, -1.78, 1.103083, -5.18652, 1.382443, 1.73, 2.3670625, 0.6370625, Plane_01, -51, 0.086, 5.94, -51, 2.003446, 2.840546, 3.644614, 8.25, 4.3978632, -3.8521368
pilot5, Male, 9, Robot_01, -1.78, 4.48, -2.86, -1.780002, 0.9382325, 4.856812, 8.490778, 1.73, 2.4952917, 0.7652917, Rocket_01, -51, 0.086, 5.94, -51, 0.4563686, -6.974558, 12.91987, 8.25, 1.6970931, -6.5529069, Shield_02, -27.05, 4.48, 4.55, -27.05, 2.447286, -1.559757, 6.439026, 4.97, 3.7589477, -1.2110523
pilot5, Male, 10, Watergun_01, -27.05, 2.69, -5.4, -27.05, 2.130261, -2.878575, 2.582807, 4.97, 3.6155935, -1.3544065, RollerSkate_01, -1.78, 1.16, 5.94, -1.780002, 1.572284, 4.907537, 1.111736, 1.73, 3.3767034, 1.6467034, RubberDuck_01, -51, 4.48, -2.86, -51, 2.409241, -1.597809, 2.425112, 8.25, 4.6824785, -3.5675215
