Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot16, Female, 1, Car_03, -27.05, 4.48, 4.55, -27.05, 3.766098, 5.047014, 0.8698731, 4.97, 6.4796482, 1.5096482, Ball_01, -51, 3.02, -2.86, -51, 2.967211, -5.249941, 2.390524, 8.25, 12.3177007, 4.0677007, Abacus_01, -1.78, 0.086, 4.55, -1.780002, -0.4693606, 6.479978, 2.008292, 1.73, 1.5654986, -0.1645014
pilot16, Female, 2, Boat_01, -51, 3.02, 3.09, -51, 4.704511, -7.811506, 11.03088, 8.25, 1.8067084, -6.4432916, Bee_01, -1.78, 3.36, -5.31, -1.78, 4.400135, -7.494457, 2.419449, 1.73, 1.3595389, -0.3704611, Doll_01, -27.05, 0.086, -5.4, -27.05, -0.7356281, -7.900226, 2.631768, 4.97, 3.7601513, -1.2098487
pilot16, Female, 3, Boomerang_01, -51, 3.02, 3.09, -51, 3.132063, 4.958275, 1.871633, 8.25, 6.3335953, -1.9164047, Car_02, -27.05, 1.16, 5.94, -27.05, 1.420129, 7.088646, 1.177733, 4.97, 3.6635209, -1.3064791, Basketball_01, -1.78, 2.48, -5.31, -1.78, 3.296893, -7.925609, 2.740205, 1.73, 1.1528088, -0.5771912
pilot16, Female, 4, Ball_02, -51, 4.48, 5.94, -51, 3.347636, 5.313344, 1.294197, 8.25, 7.1355388, -1.1144612, Bunny_01, -27.05, 0.086, -2.86, -27.05, -0.5961387, -4.628544, 1.895538, 4.97, 3.1837452, -1.7862548, Bucket_01, -1.78, 0.086, 3.09, -1.780002, -0.6976182, 5.059708, 2.11986, 1.73, 0.9417744, -0.7882256
pilot16, Female, 5, Darts_01, -27.05, 3.36, 5.94, -27.05, 3.220825, 7.494435, 1.560653, 4.97, 4.0461761, -0.9238239, Dinosaur_01, -51, 4.48, -5.417, -51, 4.81864, -4.248141, 1.216926, 8.25, 5.0544952, -3.1955048, Car_04, -1.78, 4.48, -2.86, -1.78, -0.4059529, -4.438342, 5.13456, 1.73, 1.311728, -0.418272
pilot16, Female, 6, Doll_03, -1.78, 1.16, 5.94, -1.780002, 0.9128716, 7.646627, 1.724427, 1.73, 0.8949559, -0.8350441, DumpTruck_01, -27.05, 4.48, 5.94, -27.05, 3.690015, 6.327789, 0.8800324, 4.97, 3.1826766, -1.7873234, Fish_01, -51, 1.16, -5.31, -51, 1.445485, -6.416595, 1.142827, 8.25, 5.8370002, -2.4129998
pilot16, Female, 7, Helicopter_01, -1.78, 0.086, -5.36, -1.78, -0.7229788, -8.039739, 2.799186, 1.73, 0.8626571, -0.8673429, Doll_02, -27.05, 1.16, 5.94, -27.05, 1.521572, 7.748053, 1.843852, 4.97, 2.5922853, -2.3777147, Horse_01, -51, 3.36, 5.94, -51, 4.67914, 7.164772, 1.800055, 8.25, 5.1032835, -3.1467165
pilot16, Female, 8, Plane_01, -51, 0.086, 5.94, -51, 0.3295537, 5.528921, 0.477812, 8.25, 3.5840993, -4.6659007, Car_01, -1.78, 2.48, -5.31, -1.78, 3.499789, -6.11223, 1.297514, 1.73, 0.9770792, -0.7529208, Kite_01, -27.05, 4.48, 3.09, -27.05, 4.197251, 3.918409, 0.8753337, 4.97, 3.1336312, -1.8363688
pilot16, Female, 9, Rocket_01, -51, 0.086, 5.94, -51, 0.6212196, 5.706456, 0.5839546, 8.25, 3.5195042, -4.7304958, Shield_02, -27.05, 4.48, 4.55, -27.05, 3.994364, 5.934679, 1.467371, 4.97, 3.9844477, -0.9855523, Robot_01, -1.78, 4.48, -2.86, -1.78, 6.543222, -3.956465, 2.336477, 1.73, 1.4224091, -0.3075909
pilot16, Female, 10, RubberDuck_01, -51, 4.48, -2.86, -51, 5.642906, -2.916634, 1.164284, 8.25, 7.4400266, -0.809973400000001, RollerSkate_01, -1.78, 1.16, 5.94, -1.780002, 2.206326, 7.202794, 1.639953, 1.73, 4.5115752, 2.7815752, Watergun_01, -27.05, 2.69, -5.4, -27.05, 2.71358, -6.632133, 1.232359, 4.97, 3.279017, -1.690983
