Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
Demo1, Male, 14, Bell_01, -1.78, 4.48, -4.11, -1.78, -0.3465309, -7.028203, 5.640151, 1.73, 1.2468244, -0.4831756, CongaDrum_01, -27.05, 0.086, -5.4, -27.05, 0.2436492, -5.365015, 0.1614845, 4.97, 0.717994, -4.252006, FrenchHorn_01, -51, 0.086, 3.09, -51, 0.3375483, 3.017805, 0.2617034, 8.25, 0.5910413, -7.6589587, 
Demo1, Male, 15, Maraca_01, -27.05, 3.36, -5.31, -27.05, 3.207814, -6.853806, 1.551289, 4.97, 0.6051495, -4.3648505, Microphone_01, -51, 4.48, 3.09, -51, 1.316654, -4.090804, 7.846701, 8.25, 0.5114392, -7.7385608, Headphones_01, -1.78, 0.086, -2.86, -1.78, -1.137866, -6.692887, 4.02354, 1.73, 0.4148203, -1.3151797, 
Demo1, Male, 
