Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot10, Female, 1, Abacus_01, -1.78, 0.086, 4.55, -1.780002, -0.8751545, 7.862205, 3.448843, 1.73, 1.0225936, -0.7074064, Car_03, -27.05, 4.48, 4.55, -27.05, 2.992568, 6.277065, 2.279299, 4.97, 2.5432972, -2.4267028, Ball_01, -51, 3.02, -2.86, -51, 3.271553, -3.081488, 0.3351653, 8.25, 4.9763417, -3.2736583
pilot10, Female, 2, Doll_01, -27.05, 0.086, -5.4, -27.05, -0.190356, -5.833234, 0.5138717, 4.97, 2.3980172, -2.5719828, Bee_01, -1.78, 3.36, -5.31, -1.78, 3.017913, -3.094159, 2.242092, 1.73, 3.1836608, 1.4536608, Boat_01, -51, 3.02, 3.09, -51, 3.157423, -2.891273, 5.982851, 8.25, 3.2310603, -5.0189397
pilot10, Female, 3, Boomerang_01, -51, 3.02, 3.09, -51, 3.284229, 4.983637, 1.911983, 8.25, 2.4637786, -5.7862214, Basketball_01, -1.78, 2.48, -5.31, -1.780002, 3.728047, 3.728205, 9.123967, 1.73, 3.6775845, 1.9475845, Car_02, -27.05, 1.16, 5.94, -27.05, 0.9002078, 7.595883, 1.676138, 4.97, 1.9047144, -3.0652856
pilot10, Female, 4, Bunny_01, -27.05, 0.086, -2.86, -27.05, -1.039978, 5.287952, 8.225385, 4.97, 1.4701062, -3.4998938, Ball_02, -51, 4.48, 5.94, -51, 4.14654, 4.172053, 1.799119, 8.25, 2.6540769, -5.5959231, Bucket_01, -1.78, 0.086, 3.09, -1.78, 1.648367, -4.996305, 8.235855, 1.73, 2.1581226, 0.4281226
pilot10, Female, 5, Dinosaur_01, -51, 4.48, -5.417, -51, 3.436404, -2.878592, 2.74456, 8.25, 3.1992109, -5.0507891, Darts_01, -27.05, 3.36, 5.94, -27.05, 1.77519, 5.211865, 1.744076, 4.97, 1.5688237, -3.4011763, Car_04, -1.78, 4.48, -2.86, -1.78, -0.3805921, -4.882176, 5.264461, 1.73, 1.3258187, -0.4041813
pilot10, Female, 6, Fish_01, -51, 1.16, -5.31, -51, 1.166505, -6.898473, 1.588486, 8.25, 3.3090558, -4.9409442, Doll_03, -1.78, 1.16, 5.94, -1.780002, 1.115768, 9.155663, 3.215968, 1.73, 1.3114774, -0.4185226, DumpTruck_01, -27.05, 4.48, 5.94, -27.05, 5.376583, 7.380308, 1.696569, 4.97, 1.3415292, -3.6284708
pilot10, Female, 7, Doll_02, -27.05, 1.16, 5.94, -27.05, 1.851282, 7.253496, 1.484299, 4.97, 3.0892084, -1.8807916, Helicopter_01, -1.78, 0.086, -5.36, -1.78, -0.6849322, -6.949175, 1.766299, 1.73, 1.3122129, -0.4177871, Horse_01, -51, 3.36, 5.94, -51, 3.804153, 4.806104, 1.217781, 8.25, 4.0650932, -4.1849068
pilot10, Female, 8, Kite_01, -27.05, 4.48, 3.09, -27.05, 5.363897, 6.07417, 3.112321, 4.97, 3.0049324, -1.9650676, Plane_01, -51, 0.086, 5.94, -51, 1.065051, -6.505362, 12.48381, 8.25, 1.9029495, -6.3470505, Car_01, -1.78, 2.48, -5.31, -1.780002, 3.334939, 3.969145, 9.318446, 1.73, 4.3368582, 2.6068582
pilot10, Female, 9, Robot_01, -1.78, 4.48, -2.86, -1.78, 5.237083, -3.297054, 0.8741807, 1.73, 2.6417609, 0.9117609, Shield_02, -27.05, 4.48, 4.55, -27.05, 5.782376, 7.101326, 2.864515, 4.97, 3.0402808, -1.9297192, Rocket_01, -51, 0.086, 5.94, -51, -0.3171754, 6.911152, 1.051517, 8.25, 3.8388272, -4.4111728
pilot10, Female, 10, RubberDuck_01, -51, 4.48, -2.86, -51, 2.38388, -6.556085, 4.24909, 8.25, 2.560615, -5.689385, Watergun_01, -27.05, 2.69, -5.4, -27.05, 4.235297, -6.479961, 1.885274, 4.97, 3.182665, -1.787335, RollerSkate_01, -1.78, 1.16, 5.94, -1.78, 3.639279, -3.170245, 9.441578, 1.73, 5.3586577, 3.6286577
