Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
pilot15, Female, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.19339, 1.49614, 4.471522, , , 
pilot15, Female, Spatial, 2, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.233103, -1.098943, 4.345635, , , 
pilot15, Female, Spatial, 3, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 2.074205, -4.925364, 2.104852, , , 
pilot15, Female, Spatial, 4, far_r_midmid_bottom, -51, 0.086, 4.55, -51, 2.087463, 1.324025, 3.796415, , , 
pilot15, Female, Spatial, 5, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, 1.690261, -2.634799, 2.17942, , , 
pilot15, Female, Spatial, 6, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 5.423983, -5.256371, 1.485015, , , 
pilot15, Female, Temporal, 1, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 5.0050655, 0.0350655
pilot15, Female, Temporal, 2, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 2.7833748, 1.0533748
pilot15, Female, Temporal, 3, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 6.5578901, -1.6921099
pilot15, Female, Temporal, 4, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 7.4718365, 2.5018365
pilot15, Female, Temporal, 5, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 8.476952, 0.226951999999999
pilot15, Female, Temporal, 6, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 2.8270785, 1.0970785
pilot15, Female, Spatial, 1, far_l_bottom_mid, -51, 1.16, -5.31, -51, 1.677017, -2.43621, 2.919927, , , 
pilot15, Female, Spatial, 2, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 1.134147, 4.408993, 1.531225, , , 
pilot15, Female, Spatial, 3, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 1.200372, 3.813173, 2.596611, , , 
pilot15, Female, Spatial, 4, far_l_mid_mid, -51, 3.02, -2.86, -51, 2.206621, -1.151904, 1.891871, , , 
pilot15, Female, Spatial, 5, mid_l_top, -27.05, 4.48, -5.4, -27.05, 3.583603, -2.568598, 2.96991, , , 
pilot15, Female, Spatial, 6, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 3.702756, 4.316312, 2.17873, , , 
pilot15, Female, Temporal, 1, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 7.8294154, 2.8594154
pilot15, Female, Temporal, 2, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 1.4081024, -0.3218976
pilot15, Female, Temporal, 3, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 1.1618369, -0.5681631
pilot15, Female, Temporal, 4, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 6.0983691, 1.1283691
pilot15, Female, Temporal, 5, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 7.3609724, -0.8890276
pilot15, Female, Temporal, 6, far_l_midmid_top, -51, 4.48, -4.11, , , , ,8.25, 3.851981, -4.398019
pilot15, Female, Spatial, 1, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 0.9620261, 4.488435, 1.465003, , , 
pilot15, Female, Spatial, 2, far_l_midmid_bottom, -51, 0.086, -4.11, -51, 1.478414, -1.469671, 2.984988, , , 
pilot15, Female, Spatial, 3, front_l_top_mid, -1.78, 3.36, -5.31, -1.78, 4.90761, -4.594359, 1.705063, , , 
pilot15, Female, Spatial, 4, far_r_mid_top, -51, 4.48, 3.09, -51, 4.430996, -2.211126, 5.301353, , , 
pilot15, Female, Spatial, 5, mid_r_midmid_bottom, -27.05, 0.086, 4.55, -27.05, 1.147409, 2.939322, 1.928957, , , 
pilot15, Female, Spatial, 6, mid_l_top, -27.05, 4.48, -5.4, -27.05, 3.901371, -3.177647, 2.296446, , , 
pilot15, Female, Temporal, 1, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 7.6722636, -0.5777364
pilot15, Female, Temporal, 2, far_r_top_mid, -51, 3.36, 5.94, , , , ,8.25, 8.6229931, 0.3729931
pilot15, Female, Temporal, 3, front_l_mid, -1.78, 2.48, -5.31, , , , ,1.73, 2.8950034, 1.1650034
pilot15, Female, Temporal, 4, front_l_midmid_bottom, -1.78, 0.086, -4.11, , , , ,1.73, 2.5679655, 0.8379655
pilot15, Female, Temporal, 5, front_r_bottom, -1.78, 0.086, 5.94, , , , ,1.73, 2.2327164, 0.5027164
pilot15, Female, Temporal, 6, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 0.8923498, -0.8376502
pilot15, Female, Spatial, 1, far_l_mid_bottom, -51, 0.086, -2.86, -51, 1.796175, -0.7546964, 2.712379, , , 
pilot15, Female, Spatial, 2, front_l_top, -1.78, 4.48, -5.31, -1.78, 2.895096, -3.932348, 2.099963, , , 
pilot15, Female, Spatial, 3, far_r_midmid_top, -51, 4.48, 4.55, -51, 3.636574, 1.668273, 3.002619, , , 
pilot15, Female, Spatial, 4, mid_l_bottom_mid, -27.05, 1.16, -5.31, -27.05, 1.478418, -1.562343, 3.761159, , , 
pilot15, Female, Spatial, 5, mid_r_bottom, -27.05, 0.086, 5.94, -27.05, 1.081215, 3.058483, 3.048539, , , 
pilot15, Female, Spatial, 6, front_r_mid_bottom, -1.78, 0.086, 3.09, -1.780002, 0.6310258, 2.740726, 0.647337, , , 
pilot15, Female, Temporal, 1, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 1.4613515, -0.2686485
pilot15, Female, Temporal, 2, far_l_top_mid, -51, 3.36, -5.31, , , , ,8.25, 9.202803, 0.952802999999999
pilot15, Female, Temporal, 3, far_r_midmid_top, -51, 4.48, 4.55, , , , ,8.25, 9.2256395, 0.9756395
pilot15, Female, Temporal, 4, far_l_top, -51, 4.48, -5.417, , , , ,8.25, 7.77303, -0.476970000000001
pilot15, Female, Temporal, 5, mid_r_midmid_bottom, -27.05, 0.086, 4.55, , , , ,4.97, 4.5700503, -0.3999497
pilot15, Female, Temporal, 6, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 2.3106336, 0.5806336
pilot15, Female, Spatial, 1, front_l_mid_top, -1.78, 4.48, -2.86, -1.78, 4.867898, -4.501678, 1.686882, , , 
pilot15, Female, Spatial, 2, mid_r_bottom_mid, -27.05, 1.16, 5.94, -27.05, 1.729983, 1.866866, 4.112822, , , 
pilot15, Female, Spatial, 3, far_r_mid_mid, -51, 3.02, 3.09, -51, 2.868644, 1.403467, 1.693311, , , 
pilot15, Female, Spatial, 4, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 1.928585, 1.045974, 4.952902, , , 
pilot15, Female, Spatial, 5, front_l_bottom_mid, -1.78, 1.16, -5.31, -1.78, 0.9752674, -3.852907, 1.468757, , , 
pilot15, Female, Spatial, 6, far_r_top_mid, -51, 3.36, 5.94, -51, 2.458188, 1.602071, 4.430676, , , 
pilot15, Female, Temporal, 1, far_r_bottom, -51, 0.086, 5.94, , , , ,8.25, 7.5498784, -0.7001216
pilot15, Female, Temporal, 2, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 3.3052393, 1.5752393
pilot15, Female, Temporal, 3, mid_r_mid_top, -27.05, 4.48, 3.09, , , , ,4.97, 6.5577964, 1.5877964
pilot15, Female, Temporal, 4, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 5.327728, -2.922272
pilot15, Female, Temporal, 5, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 6.6231065, 1.6531065
pilot15, Female, Temporal, 6, front_l_midmid_top, -1.78, 4.48, -4.11, , , , ,1.73, 1.3078788, -0.4221212
pilot15, Female, 
