Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
pilot7, Male, Spatial, 1, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 3.487104, -7.13939, 4.396297, , , 
pilot7, Male, Spatial, 2, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.461758, 6.505322, 0.9566601, , , 
pilot7, Male, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.180983, -8.356789, 3.213305, , , 
pilot7, Male, Spatial, 4, far_r_midmid_bottom, -51, 0.086, 4.55, -51, -0.01283383, 4.806104, 0.274513, , , 
pilot7, Male, Spatial, 5, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, -0.2157171, -5.199186, 1.130203, , , 
pilot7, Male, Spatial, 6, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 5.845764, -5.414777, 1.88885, , , 
pilot7, Male, Temporal, 1, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 1.9019041, 0.1719041
pilot7, Male, Temporal, 2, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 0.3674775, -7.8825225
pilot7, Male, Temporal, 3, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 2.8795838, -2.0904162
pilot7, Male, Temporal, 4, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 2.7518402, -2.2181598
pilot7, Male, Temporal, 5, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 5.2956097, 3.5656097
pilot7, Male, Temporal, 6, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 8.8652032, 0.6152032
pilot7, Male, Spatial, 1, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 1.407423, 8.521615, 2.593444, , , 
pilot7, Male, Spatial, 2, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.753422, 6.188298, 1.092025, , , 
pilot7, Male, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.307797, -7.938315, 2.868009, , , 
pilot7, Male, Spatial, 4, mid_l_top, -27.05, 4.48, -5.4, -27.05, 5.693607, -7.862185, 2.745031, , , 
pilot7, Male, Spatial, 5, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 4.197238, 6.987216, 2.210972, , , 
pilot7, Male, Spatial, 6, far_l_mid_mid, -51, 3.02, -2.86, -51, 5.668267, -5.681096, 3.869354, , , 
pilot7, Male, Temporal, 1, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 1.4882394, -0.2417606
pilot7, Male, Temporal, 2, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 1.8881939, 0.1581939
pilot7, Male, Temporal, 3, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 9.3115715, 4.3415715
pilot7, Male, Temporal, 4, far_l_midmid_top, -51, 4.48, -4.11, , , , ,8.25, 7.7278837, -0.5221163
pilot7, Male, Temporal, 5, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 4.8146565, -0.1553435
pilot7, Male, Temporal, 6, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 6.4470225, -1.8029775
pilot7, Male, Spatial, 1, front_l_top_mid, -1.78, 3.36, -5.31, -1.78, 4.133841, -7.126709, 1.974655, , , 
pilot7, Male, Spatial, 2, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 2.713563, 6.873087, 1.812239, , , 
pilot7, Male, Spatial, 3, far_l_midmid_bottom, -51, 0.086, -4.11, -51, -0.0128336, -4.958278, 0.8540158, , , 
pilot7, Male, Spatial, 4, mid_l_top, -27.05, 4.48, -5.4, -27.05, 5.414629, -6.87307, 1.744553, , , 
pilot7, Male, Spatial, 5, far_r_mid_top, -51, 4.48, 3.09, -51, -0.1142776, 5.072404, 5.00373, , , 
pilot7, Male, Spatial, 6, mid_r_midmid_bottom, -27.05, 0.086, 4.55, -27.05, 6.581276, 4.970927, 6.508901, , , 
pilot7, Male, Temporal, 1, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 4.736176, -3.513824
pilot7, Male, Temporal, 2, front_l_mid, -1.78, 2.48, -5.31, , , , ,1.73, 1.9203019, 0.1903019
pilot7, Male, Temporal, 3, far_r_top_mid, -51, 3.36, 5.94, , , , ,8.25, 3.9987828, -4.2512172
pilot7, Male, Temporal, 4, front_l_midmid_bottom, -1.78, 0.086, -4.11, , , , ,1.73, 1.7911366, 0.0611366
pilot7, Male, Temporal, 5, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 2.0961051, 0.3661051
pilot7, Male, Temporal, 6, front_r_bottom, -1.78, 0.086, 5.94, , , , ,1.73, 2.9749913, 1.2449913
pilot7, Male, Spatial, 1, front_l_top, -1.78, 4.48, -5.31, -1.78, 5.541424, -5.072391, 1.087694, , , 
pilot7, Male, Spatial, 2, far_r_midmid_top, -51, 4.48, 4.55, -51, 5.706304, 5.947395, 1.859176, , , 
pilot7, Male, Spatial, 3, far_l_mid_bottom, -51, 0.086, -2.86, -51, 0.5324515, -3.157574, 0.5365344, , , 
pilot7, Male, Spatial, 4, mid_r_bottom, -27.05, 0.086, 5.94, -27.05, 0.1647148, 7.304222, 1.366491, , , 
pilot7, Male, Spatial, 5, front_r_mid_bottom, -1.78, 0.086, 3.09, -1.78, -0.05088067, -4.28617, 7.37744, , , 
pilot7, Male, Spatial, 6, mid_l_bottom_mid, -27.05, 1.16, -5.31, -27.05, 5.427304, -4.856801, 4.291302, , , 
pilot7, Male, Temporal, 1, far_l_top_mid, -51, 3.36, -5.31, , , , ,8.25, 2.9909889, -5.2590111
pilot7, Male, Temporal, 2, far_r_midmid_top, -51, 4.48, 4.55, , , , ,8.25, 2.5926378, -5.6573622
pilot7, Male, Temporal, 3, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 2.5751091, 0.8451091
pilot7, Male, Temporal, 4, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 0.9928489, -0.7371511
pilot7, Male, Temporal, 5, mid_r_midmid_bottom, -27.05, 0.086, 4.55, , , , ,4.97, 1.6456347, -3.3243653
pilot7, Male, Temporal, 6, far_l_top, -51, 4.48, -5.417, , , , ,8.25, 2.8307969, -5.4192031
pilot7, Male, Spatial, 1, far_r_mid_mid, -51, 3.02, 3.09, -51, 1.559615, 5.249939, 2.607309, , , 
pilot7, Male, Spatial, 2, mid_r_bottom_mid, -27.05, 1.16, 5.94, -27.05, 5.199047, 5.465484, 4.066825, , , 
pilot7, Male, Spatial, 3, front_l_mid_top, -1.78, 4.48, -2.86, -1.78, 5.452656, -4.983624, 2.335774, , , 
pilot7, Male, Spatial, 4, far_r_top_mid, -51, 3.36, 5.94, -51, 3.106702, 5.199215, 0.7828933, , , 
pilot7, Male, Spatial, 5, front_l_bottom_mid, -1.78, 1.16, -5.31, -1.78, 4.019712, -5.427458, 2.862123, , , 
pilot7, Male, Spatial, 6, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.776987, 5.960042, 0.08926555, , , 
pilot7, Male, Temporal, 1, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 1.5987729, -0.1312271
pilot7, Male, Temporal, 2, far_r_bottom, -51, 0.086, 5.94, , , , ,8.25, 2.4477581, -5.8022419
pilot7, Male, Temporal, 3, mid_r_mid_top, -27.05, 4.48, 3.09, , , , ,4.97, 3.3432317, -1.6267683
pilot7, Male, Temporal, 4, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 0.8950781, -4.0749219
pilot7, Male, Temporal, 5, front_l_midmid_top, -1.78, 4.48, -4.11, , , , ,1.73, 1.087946, -0.642054
pilot7, Male, Temporal, 6, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 2.7200712, -5.5299288
pilot7, Male, 
