Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
SONA2, Male, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.307797, 5.211865, 0.8223498, , , 
SONA2, Male, Spatial, 2, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 3.816815, -5.782526, 3.213757, , , 
SONA2, Male, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.003446, -2.143093, 3.277301, , , 
SONA2, Male, Spatial, 4, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, 1.382083, -1.648524, 2.781851, , , 
SONA2, Male, Spatial, 5, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 5.769682, -8.71183, 4.779134, , , 
SONA2, Male, Spatial, 6, far_r_midmid_bottom, -51, 0.086, 4.55, -51, 1.382078, 2.117728, 2.756042, , , 
SONA2, Male, Temporal, 1, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 6.5890225, 1.6190225
SONA2, Male, Temporal, 2, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 6.3661618, -1.8838382
SONA2, Male, Temporal, 3, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 2.4968623, 0.7668623
SONA2, Male, Temporal, 4, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 7.3425854, 5.6125854
SONA2, Male, Temporal, 5, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 6.1915941, 1.2215941
SONA2, Male, Temporal, 6, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 3.4382263, -4.8117737
SONA2, Male, Spatial, 1, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 0.1520057, 5.300647, 1.19366, , , 
SONA2, Male, Spatial, 2, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 1.94005, 2.916616, 3.115008, , , 
SONA2, Male, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 1.661058, -2.751781, 2.606826, , , 
SONA2, Male, Spatial, 4, far_l_mid_mid, -51, 3.02, -2.86, -51, 2.624824, -1.420275, 1.492974, , , 
SONA2, Male, Spatial, 5, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 1.242573, 4.780726, 1.535846, , , 
SONA2, Male, Spatial, 6, mid_l_top, -27.05, 4.48, -5.4, -27.05, 3.575887, -2.662999, 2.882464, , , 
SONA2, Male, Temporal, 1, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 0.9432228, -0.7867772
SONA2, Male, Temporal, 2, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 2.0621797, 0.3321797
