Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
control3, Female, 1, Car_03, -27.05, 4.48, 4.55, -27.05, -1.914961, 10.7154, 8.882997, 4.97, 6.1267063, 1.1567063, Ball_01, -51, 3.02, -2.86, -51, 3.296914, -9.916553, 7.061984, 8.25, 6.3347484, -1.9152516, Abacus_01, -1.78, 0.086, 4.55, -1.780002, -2.21933, 11.45092, 7.275798, 1.73, 8.4472525, 6.7172525
control3, Female, 2, Bee_01, -1.78, 3.36, -5.31, -1.78, 7.481614, -10.51253, 6.63732, 1.73, 4.2877578, 2.5577578, Doll_01, -27.05, 0.086, -5.4, -27.05, -2.041774, -9.9799, 5.05004, 4.97, 3.8713666, -1.0986334, Boat_01, -51, 3.02, 3.09, -51, 1.71179, 9.840467, 6.876061, 8.25, 5.2771838, -2.9728162
control3, Female, 3, Basketball_01, -1.78, 2.48, -5.31, -1.78, 3.347614, -10.1321, 4.89953, 1.73, 5.4545048, 3.7245048, Car_02, -27.05, 1.16, 5.94, -27.05, -0.9004886, 11.13387, 5.587653, 4.97, 6.2720817, 1.3020817, Boomerang_01, -51, 3.02, 3.09, -51, 6.327672, 6.835066, 4.996621, 8.25, 4.8789088, -3.3710912
control3, Female, 4, Bucket_01, -1.78, 0.086, 3.09, -1.780002, -1.762815, 10.38572, 7.526329, 1.73, 7.3414407, 5.6114407, Bunny_01, -27.05, 0.086, -2.86, -27.05, -2.117856, -10.47446, 7.926974, 4.97, 6.3815577, 1.4115577, Ball_02, -51, 4.48, 5.94, -51, 4.070458, 7.557883, 1.668913, 8.25, 6.4797971, -1.7702029
control3, Female, 5, Darts_01, -27.05, 3.36, 5.94, -27.05, 3.867551, 11.00706, 5.092413, 4.97, 7.1366437, 2.1666437, Car_04, -1.78, 4.48, -2.86, -1.78, 7.709871, -8.255316, 6.288204, 1.73, 6.5110585, 4.7810585, Dinosaur_01, -51, 4.48, -5.417, -51, -1.116079, -10.70278, 7.697761, 8.25, 7.5349784, -0.7150216
control3, Female, 6, Fish_01, -51, 1.16, -5.31, -51, 0.1773882, 10.62669, 15.96696, 8.25, 3.4238734, -4.8261266, Doll_03, -1.78, 1.16, 5.94, -1.780002, 5.604832, 8.876682, 5.327348, 1.73, 3.6142533, 1.8842533, DumpTruck_01, -27.05, 4.48, 5.94, -27.05, -0.355206, -10.10671, 16.75936, 4.97, 3.648278, -1.321722
control3, Female, 7, Doll_02, -27.05, 1.16, 5.94, -27.05, -0.8497574, 11.24799, 5.675732, 4.97, 3.2807499, -1.6892501, Helicopter_01, -1.78, 0.086, -5.36, -1.780002, 5.579471, 9.941885, 16.2581, 1.73, 4.0622617, 2.3322617, Horse_01, -51, 3.36, 5.94, -51, -1.648679, -9.929235, 16.6409, 8.25, 4.1593627, -4.0906373
control3, Female, 8, Plane_01, -51, 0.086, 5.94, -51, 0.5324513, 9.929234, 4.014138, 8.25, 3.7902629, -4.4597371, Kite_01, -27.05, 4.48, 3.09, -27.05, 7.570388, 8.863977, 6.548993, 4.97, 3.1657402, -1.8042598, Car_01, -1.78, 2.48, -5.31, -1.78, 4.24797, -11.27339, 6.219944, 1.73, 3.9511262, 2.2211262
control3, Female, 9, Rocket_01, -51, 0.086, 5.94, -51, -0.279129, 8.902073, 2.984492, 8.25, 5.1024574, -3.1475426, Shield_02, -27.05, 4.48, 4.55, -27.05, 7.430898, 8.927382, 5.279136, 4.97, 4.9899709, 0.0199708999999997, Robot_01, -1.78, 4.48, -2.86, -1.78, 8.077621, -8.331401, 6.548214, 1.73, 3.8220812, 2.0920812
control3, Female, 10, Watergun_01, -27.05, 2.69, -5.4, -27.05, 4.387471, -11.07046, 5.919083, 4.97, 3.9670638, -1.0029362, RollerSkate_01, -1.78, 1.16, 5.94, -1.780002, 1.090398, 10.99441, 5.054885, 1.73, 2.4802268, 0.7502268, RubberDuck_01, -51, 4.48, -2.86, -51, 6.327672, 8.88939, 11.89378, 8.25, 3.1667714, -5.0832286
