Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot11, Male, 1, Abacus_01, -1.78, 0.086, 4.55, -1.780002, 0.4436705, 4.007187, 0.6500573, 1.73, 2.7366055, 1.0066055, Ball_01, -51, 3.02, -2.86, -51, 1.673744, -1.23006, 2.114027, 8.25, 8.8619131, 0.611913099999999, Car_03, -27.05, 4.48, 4.55, -27.05, 2.802348, 2.523507, 2.630816, 4.97, 7.4241483, 2.4541483
pilot11, Male, 2, Boat_01, -51, 3.02, 3.09, -51, 2.789675, 2.422072, 0.7065246, 8.25, 6.0617629, -2.1882371, Bee_01, -1.78, 3.36, -5.31, -1.78, 4.603032, -5.947378, 1.396917, 1.73, 2.8491641, 1.1191641, Doll_01, -27.05, 0.086, -5.4, -27.05, 0.6339047, -6.251705, 1.01272, 4.97, 4.5113788, -0.4586212
pilot11, Male, 3, Car_02, -27.05, 1.16, 5.94, -27.05, 0.9889758, -5.123101, 11.06442, 4.97, 4.8778541, -0.0921459000000002, Basketball_01, -1.78, 2.48, -5.31, -1.78, 4.641078, -7.063303, 2.782864, 1.73, 3.19847, 1.46847, Boomerang_01, -51, 3.02, 3.09, -51, 2.840397, 1.547082, 1.553336, 8.25, 7.4542168, -0.795783200000001
pilot11, Male, 4, Bucket_01, -1.78, 0.086, 3.09, -1.780001, 2.929145, 1.0652, 3.490457, 1.73, 8.0146263, 6.2846263, Ball_02, -51, 4.48, 5.94, -51, 3.182785, 1.610488, 4.519673, 8.25, 7.3263939, -0.923606100000001, Bunny_01, -27.05, 0.086, -2.86, -27.05, 0.1520295, -3.652112, 0.7948596, 4.97, 1.6265693, -3.3434307
pilot11, Male, 5, Car_04, -1.78, 4.48, -2.86, -1.78, 4.83129, -5.960059, 3.119899, 1.73, 1.2328144, -0.4971856, Darts_01, -27.05, 3.36, 5.94, -27.05, 3.461758, 4.882161, 1.062722, 4.97, 5.2157958, 0.2457958, Dinosaur_01, -51, 4.48, -5.417, -51, 3.525172, -5.960078, 1.098467, 8.25, 8.3339313, 0.0839312999999997
pilot11, Male, 6, Fish_01, -51, 1.16, -5.31, -51, 1.065051, 3.106848, 8.417384, 8.25, 5.9832756, -2.2667244, Doll_03, -1.78, 1.16, 5.94, -1.780002, 0.9255471, 2.650323, 3.298021, 1.73, 5.9024828, 4.1724828, DumpTruck_01, -27.05, 4.48, 5.94, -27.05, 3.334954, -5.351358, 11.34927, 4.97, 3.0701878, -1.8998122
pilot11, Male, 7, Doll_02, -27.05, 1.16, 5.94, -27.05, 1.255279, 3.614067, 2.327884, 4.97, 4.7182219, -0.2517781, Horse_01, -51, 3.36, 5.94, -51, 2.91648, 3.297063, 2.679893, 8.25, 7.2933472, -0.956652800000001, Helicopter_01, -1.78, 0.086, -5.36, -1.78, 0.1012845, -5.757163, 0.3974569, 1.73, 2.4148763, 0.6848763
pilot11, Male, 8, Kite_01, -27.05, 4.48, 3.09, -27.05, 4.590368, 3.043425, 0.1197932, 4.97, 4.9122171, -0.0577829000000003, Car_01, -1.78, 2.48, -5.31, -1.78, 2.675527, -6.479979, 1.186204, 1.73, 2.7662204, 1.0362204, Plane_01, -51, 0.086, 5.94, -51, 0.1393418, 5.858628, 0.09729746, 8.25, 6.686536, -1.563464
pilot11, Male, 9, Shield_02, -27.05, 4.48, 4.55, -27.05, 1.318676, 4.412966, 3.164293, 4.97, 4.8938839, -0.0761161000000001, Rocket_01, -51, 0.086, 5.94, -51, 3.791477, 3.816984, 4.270569, 8.25, 8.1417355, -0.108264500000001, Robot_01, -1.78, 4.48, -2.86, -1.78, 6.086707, -3.943784, 1.938065, 1.73, 2.2852306, 0.5552306
pilot11, Male, 10, Watergun_01, -27.05, 2.69, -5.4, -27.05, 2.130261, -5.64302, 0.610218, 4.97, 6.4152609, 1.4452609, RollerSkate_01, -1.78, 1.16, 5.94, -1.780002, 0.4690316, 5.338689, 0.9159759, 1.73, 2.4780986, 0.7480986, RubberDuck_01, -51, 4.48, -2.86, -51, 3.816838, -4.146693, 1.447537, 8.25, 7.7256726, -0.524327400000001
pilot11, Male, 11, RugbyBall_01, -1.78, 0.086, 3.09, -1.780002, 3.411022, 3.537991, 3.355066, 1.73, 5.4538769, 3.7238769, Sheep_01, -27.05, 2.69, 5.94, -27.05, 1.128465, -4.539777, 10.59548, 4.97, 3.9792656, -0.9907344, Watergun_02, -51, 3.02, -5.3744, -51, -0.2537677, -6.530724, 3.471979, 8.25, 2.4302026, -5.8197974
pilot11, Male, 12, TeddyBear_01, -27.05, 0.086, -4.11, -27.05, 0.48174, -3.550664, 0.6851763, 4.97, 3.777164, -1.192836, Shield_01, -1.78, 4.48, 3.09, -1.780001, 3.842176, 1.83874, 1.404447, 1.73, 2.5915812, 0.8615812, ToyBlocks_01, -51, 3.02, 5.94, -51, 2.054178, 1.394911, 4.646574, 8.25, 6.5271998, -1.7228002
pilot11, Male, 13, ToyStacker_01, -1.78, 4.48, 5.94, -1.780002, 3.449068, 3.855016, 2.325936, 1.73, 2.4505328, 0.7205328, Watergun_03, -51, 4.48, 3.09, -51, 1.952724, -6.201016, 9.628609, 8.25, 5.1329911, -3.1170089, ToyTrumpet_01, -27.05, 4.48, -5.4, -27.05, 3.246186, 5.655698, 11.12433, 4.97, 6.9746975, 2.0046975
pilot11, Male, 14, Bell_01, -1.78, 4.48, -4.11, -1.78, 5.528748, -8.43285, 4.448247, 1.73, 2.4305784, 0.7005784, CongaDrum_01, -27.05, 0.086, -5.4, -27.05, 0.7099971, -7.164732, 1.871804, 4.97, 4.3663599, -0.6036401, FrenchHorn_01, -51, 0.086, 3.09, -51, 1.052376, 1.027161, 2.277978, 8.25, 6.3690999, -1.8809001
pilot11, Male, 15, Headphones_01, -1.78, 0.086, -2.86, -1.78, 0.5958461, -5.744483, 2.929195, 1.73, 2.6087263, 0.8787263, Maraca_01, -27.05, 3.36, -5.31, -27.05, 3.398351, 1.039836, 6.349952, 4.97, 6.3035361, 1.3335361, Microphone_01, -51, 4.48, 3.09, -51, 3.626616, -5.287984, 8.421335, 8.25, 6.7678551, -1.4821449
pilot11, Male, 16, Phonograph_01, -51, 0.086, 3.09, -51, 0.6085341, 2.76446, 0.6156444, 8.25, 6.9580325, -1.2919675, Radio_01, -1.78, 1.16, -5.31, -1.78, 2.117558, -6.961856, 1.909331, 1.73, 3.1177549, 1.3877549, PanFlute_01, -27.05, 2.69, -2.86, -27.05, 3.157418, -4.628544, 1.82927, 4.97, 4.7206345, -0.2493655
pilot11, Male, 17, Tambourine_01, -27.05, 2.69, 5.94, -27.05, 3.132057, 4.72999, 1.288231, 4.97, 5.2459376, 0.2759376, SingleDrum_01, -1.78, 0.086, 5.94, -1.780002, 0.342227, 6.036142, 0.2736706, 1.73, 2.2712961, 0.5412961, Tuba_01, -51, 0.086, -5.41, -51, 0.6085342, -4.98364, 0.6744071, 8.25, 5.9182282, -2.3317718
pilot11, Male, 18, Casette_01, -27.05, 1.16, -5.31, -27.05, 2.24439, -6.175619, 1.387515, 4.97, 6.9275857, 1.9575857, CongaDrum_02, -51, 1.16, 5.94, -51, 0.8875245, 4.577845, 1.38914, 8.25, 8.0168105, -0.2331895, Trumpet_01, -1.78, 2.48, -2.86, -1.78, 2.19365, -4.336894, 1.504398, 1.73, 2.2399286, 0.5099286
