Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
pilot3, Male, Spatial, 1, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.561417, -4.184736, 1.797272, , , 
pilot3, Male, Spatial, 2, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 3.474429, -2.815177, 0.9954385, , , 
pilot3, Male, Spatial, 3, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.18278, 3.829643, 2.167127, , , 
pilot3, Male, Spatial, 4, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, 1.027022, -3.360451, 1.203057, , , 
pilot3, Male, Spatial, 5, far_r_midmid_bottom, -51, 0.086, 4.55, -51, 0.8621535, 4.045243, 0.9258476, , , 
pilot3, Male, Spatial, 6, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 5.414619, -6.010783, 2.118133, , , 
pilot3, Male, Temporal, 1, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 4.2407135, 2.5107135
pilot3, Male, Temporal, 2, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 5.6138126, 0.6438126
pilot3, Male, Temporal, 3, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 2.6539859, -5.5960141
pilot3, Male, Temporal, 4, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 5.5531544, 0.5831544
pilot3, Male, Temporal, 5, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 3.3585505, 1.6285505
pilot3, Male, Temporal, 6, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 7.4560032, -0.7939968
pilot3, Male, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 1.014336, 4.362243, 2.301558, , , 
pilot3, Male, Spatial, 2, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 4.564986, 4.108634, 3.866242, , , 
pilot3, Male, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 0.9002002, -7.900272, 2.603268, , , 
pilot3, Male, Spatial, 4, front_r_mid, -1.78, 2.25, 5.94, -1.78, 4.55231, -3.449227, 9.667379, , , 
pilot3, Male, Spatial, 5, far_l_mid_mid, -51, 3.02, -2.86, -51, 3.461765, -2.916634, 0.4453803, , , 
pilot3, Male, Spatial, 6, mid_l_top, -27.05, 4.48, -5.4, -27.05, 5.93454, -6.264386, 1.691996, , , 
pilot3, Male, Temporal, 1, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 2.7046184, 0.9746184
pilot3, Male, Temporal, 2, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 5.7117593, 0.7417593
pilot3, Male, Temporal, 3, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 1.9982014, 0.2682014
pilot3, Male, Temporal, 4, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 4.4965726, -3.7534274
