Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot12, Male, 18, CongaDrum_02, -51, 1.16, 5.94, -51, 1.775187, 1.547082, 4.435784, 8.25, 3.9188975, -4.3311025, Trumpet_01, -1.78, 2.48, -2.86, -1.78, 2.345815, -5.047029, 2.191142, 1.73, 2.2381528, 0.5081528, Casette_01, -27.05, 1.16, -5.31, -27.05, 2.054179, -3.259003, 2.237441, 4.97, 3.1028045, -1.8671955
pilot12, Male, 19, DoubleBass_01, -1.78, 2.25, 5.94, -1.780002, 2.371176, 5.706439, 0.2631248, 1.73, 2.0964515, 0.3664515, Gong_01, -27.05, 1.16, -5.31, -27.05, 2.016133, -4.070583, 1.506359, 4.97, 2.7017751, -2.2682249, Harmonica_01, -51, 3.02, 3.09, -51, 3.220831, 2.498158, 0.6249877, 8.25, 5.2796708, -2.9703292
pilot12, Male, 20, Saxophone_01, -27.05, 0.086, -4.11, -27.05, 0.4690543, 5.465484, 9.583142, 4.97, 2.2053252, -2.7646748, Harp_01, -1.78, 4.48, 4.55, -1.780002, 4.869336, 4.362255, 0.4322393, 1.73, 3.0381856, 1.3081856, CongaDrum_03, -51, 1.16, -5.31, -51, 2.016132, -4.590528, 1.118303, 8.25, 3.5192411, -4.7307589
pilot12, Male, 21, RacoonPlush_01 (1), -1.78, 4.48, -5.31, -1.78, 5.363888, -5.782526, 1.002267, 1.73, 2.7658761, 1.0358761, Avocado_01 (1), -51, 4.48, 3.09, -51, 3.499811, 2.624969, 1.084907, 8.25, 4.4463007, -3.8036993, IceCream02 (1), -27.05, 1.16, -5.31, -27.05, 1.902004, -3.499941, 1.956242, 4.97, 2.878421, -2.091579
pilot12, Male, 22, BalloonDog_01 (1), -27.05, 0.086, 4.55, -27.05, 1.001661, 2.84053, 1.939258, 4.97, 2.8300634, -2.1399366, BalloonFlower_01 (1), -51, 1.16, 5.94, -51, 2.371194, 1.813384, 4.300693, 8.25, 4.5903914, -3.6596086, Binocular_01 (1), -1.78, 3.36, -5.31, -1.78, 1.965393, -4.691962, 1.525418, 1.73, 2.6377979, 0.9077979
pilot12, Male, 23, Bucket (1), -51, 4.48, 4.55, -51, 1.534254, -2.092369, 7.266257, 8.25, 2.7516782, -5.4983218, Starfish (1), -1.78, 2.25, 3.09, -1.780002, 2.992553, 4.070592, 1.230019, 1.73, 3.1209431, 1.3909431, Panda_01 (1), -27.05, 0.086, -5.4, -27.05, 0.9762902, -2.460104, 3.071743, 4.97, 3.9183412, -1.0516588
pilot12, Male, 24, IceCream_01 (1), -51, 4.48, -4.11, -51, 3.005248, -1.902153, 2.655086, 8.25, 4.5929063, -3.6570937, Case01 (1), -1.78, 0.086, 5.94, -1.780002, 0.6972893, 4.451022, 1.609575, 1.73, 2.6240996, 0.8940996, BadmintonBall (1), -27.05, 4.48, 5.94, -27.05, 3.753422, 2.688358, 3.33183, 4.97, 4.9278402, -0.0421598000000003
pilot12, Male, 25, Book (1), -1.78, 2.25, 3.09, -1.780002, 2.383862, 4.235445, 1.153241, 1.73, 3.0079373, 1.2779373, Camera_01 (1), -51, 3.02, 5.94, -51, 1.496207, -1.97824, 8.063527, 8.25, 4.1117345, -4.1382655, Watermelon (1), -27.05, 0.086, -2.86, -27.05, 0.9509295, -1.990909, 1.226141, 4.97, 2.9871749, -1.9828251
pilot12, Male, 26, Ship (1), -1.78, 4.48, 5.94, -1.780002, 3.867537, 5.059708, 1.072392, 1.73, 2.7167399, 0.9867399, Football_01 (1), -27.05, 4.48, -4.11, -27.05, 2.307797, -3.119513, 2.387369, 4.97, 3.2820104, -1.6879896, Alpaca_01 (2), -51, 0.086, 5.94, -51, 1.800558, 1.306144, 4.940884, 8.25, 5.1490218, -3.1009782
pilot12, Male, 27, CoconutOpen (1), -1.78, 1.16, -5.31, -1.78, 1.724449, -3.829656, 1.584305, 1.73, 2.6704579, 0.9404579, Sunglasses (1), -51, 0.086, 4.55, -51, 3.461765, 2.01628, 4.220844, 8.25, 4.350346, -3.899654, PiggyBank_01 (1), -27.05, 3.36, -5.31, -27.05, 2.231705, -2.612275, 2.92417, 4.97, 3.6788421, -1.2911579
pilot12, Male, 28, Ship_01 (1), -27.05, 2.69, 5.94, -27.05, 2.282436, 4.679266, 1.324975, 4.97, 2.9751994, -1.9948006, WoodenClock_01 (1), -51, 3.36, -5.31, -51, 3.385682, -1.521723, 3.788364, 8.25, 6.350436, -1.899564, Controller_01 (1), -1.78, 0.086, -4.11, -1.78, 0.5451244, -4.045232, 0.4636703, 1.73, 2.4139275, 0.6839275
pilot12, Male, 29, WateringCan_01 (1), -27.05, 4.48, 4.55, -27.05, 1.14115, 3.271681, 3.575195, 4.97, 3.104, -1.866, Bird_01 (1), -51, 3.36, 5.94, -51, 2.155622, 1.775342, 4.33531, 8.25, 5.3097007, -2.9402993, Camera (1), -1.78, 0.086, -2.86, -1.78, 0.9255474, -2.865901, 0.8395681, 1.73, 3.2614942, 1.5314942
pilot12, Male, 30, SeaHorse_01 (1), -27.05, 0.086, 5.94, -27.05, 1.902004, 2.16844, 4.185993, 4.97, 2.9445947, -2.0254053, Bag (1), -51, 4.48, -4.11, -51, 2.992572, -1.014482, 3.434337, 8.25, 5.4546141, -2.7953859, Pineapple (1), -1.78, 2.48, -5.31, -1.78, 2.992552, -4.6666, 0.8226017, 1.73, 1.8560508, 0.1260508
pilot12, Male, 
