Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
pilot11, Male, Spatial, 1, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 2.992552, -5.604992, 2.792435, , , 
pilot11, Male, Spatial, 2, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 1.369407, 7.773416, 2.259509, , , 
pilot11, Male, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 1.838595, -3.132212, 2.281064, , , 
pilot11, Male, Spatial, 4, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 3.728047, -6.797003, 2.790236, , , 
pilot11, Male, Spatial, 5, far_r_midmid_bottom, -51, 0.086, 4.55, -51, 0.304193, 4.844147, 0.3662381, , , 
pilot11, Male, Spatial, 6, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, 0.4563789, -3.740879, 0.5229062, , , 
pilot11, Male, Temporal, 1, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 4.0006306, -4.2493694
pilot11, Male, Temporal, 2, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 3.9968023, -0.9731977
pilot11, Male, Temporal, 3, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 1.3593057, -0.3706943
pilot11, Male, Temporal, 4, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 6.654548, -1.595452
pilot11, Male, Temporal, 5, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 2.0970012, 0.3670012
pilot11, Male, Temporal, 6, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 5.3258678, 0.3558678
pilot11, Male, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.766098, 5.047014, 1.39836, , , 
pilot11, Male, Spatial, 2, far_l_bottom_mid, -51, 1.16, -5.31, -51, 0.6339052, -6.720939, 1.50583, , , 
pilot11, Male, Spatial, 3, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 0.1773765, 5.896653, 0.9835791, , , 
pilot11, Male, Spatial, 4, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 2.168289, 5.554266, 0.3942936, , , 
pilot11, Male, Spatial, 5, mid_l_top, -27.05, 4.48, -5.4, -27.05, 6.517868, -8.737168, 3.910192, , , 
pilot11, Male, Spatial, 6, far_l_mid_mid, -51, 3.02, -2.86, -51, 3.525172, -4.970959, 2.170564, , , 
pilot11, Male, Temporal, 1, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 2.4153857, 0.6853857
pilot11, Male, Temporal, 2, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 3.3764084, -1.5935916
pilot11, Male, Temporal, 3, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 1.9668142, 0.2368142
pilot11, Male, Temporal, 4, far_l_midmid_top, -51, 4.48, -4.11, , , , ,8.25, 3.6955829, -4.5544171
pilot11, Male, Temporal, 5, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 7.583191, -0.666809000000001
pilot11, Male, Temporal, 6, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 6.9282982, 1.9582982
pilot11, Male, Spatial, 1, far_l_midmid_bottom, -51, 0.086, -4.11, -51, 0.05057383, -6.518043, 2.408303, , , 
pilot11, Male, Spatial, 2, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 0.6085212, 5.896653, 0.5531797, , , 
pilot11, Male, Spatial, 3, front_l_top_mid, -1.78, 3.36, -5.31, -1.78, 4.209924, -8.82596, 3.617229, , , 
pilot11, Male, Spatial, 4, mid_r_midmid_bottom, -27.05, 0.086, 4.55, -27.05, 0.08863211, 5.947361, 1.397364, , , 
pilot11, Male, Spatial, 5, far_r_mid_top, -51, 4.48, 3.09, -51, 5.871165, 1.775342, 1.914071, , , 
pilot11, Male, Spatial, 6, mid_l_top, -27.05, 4.48, -5.4, -27.05, 5.084919, -7.53248, 2.216618, , , 
pilot11, Male, Temporal, 1, front_l_mid, -1.78, 2.48, -5.31, , , , ,1.73, 4.4316514, 2.7016514
pilot11, Male, Temporal, 2, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 5.7268276, -2.5231724
pilot11, Male, Temporal, 3, far_r_top_mid, -51, 3.36, 5.94, , , , ,8.25, 11.9183392, 3.6683392
pilot11, Male, Temporal, 4, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 2.5747351, 0.8447351
pilot11, Male, Temporal, 5, front_r_bottom, -1.78, 0.086, 5.94, , , , ,1.73, 3.1995081, 1.4695081
