Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
pilot10, Female, Spatial, 1, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 2.967191, -2.891264, 0.4881935, , , 
pilot10, Female, Spatial, 2, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.827708, 4.958247, 0.9913643, , , 
pilot10, Female, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 1.635697, -5.820586, 0.6978441, , , 
pilot10, Female, Spatial, 4, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, 0.9762903, -3.043427, 1.389315, , , 
pilot10, Female, Spatial, 5, far_r_midmid_bottom, -51, 0.086, 4.55, -51, -0.2284069, 6.25174, 1.73054, , , 
pilot10, Female, Spatial, 6, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, -0.7356539, -6.302445, 5.657726, , , 
pilot10, Female, Temporal, 1, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 3.0067816, 1.2767816
pilot10, Female, Temporal, 2, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 2.014602, -2.955398
pilot10, Female, Temporal, 3, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 3.871541, -4.378459
pilot10, Female, Temporal, 4, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 3.6638674, -1.3061326
pilot10, Female, Temporal, 5, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 4.6247729, -3.6252271
pilot10, Female, Temporal, 6, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 4.2407445, 2.5107445
pilot10, Female, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.639294, 5.3894, 1.097415, , , 
pilot10, Female, Spatial, 2, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 1.179165, 4.755365, 1.18479, , , 
pilot10, Female, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.054178, -5.097769, 0.919019, , , 
pilot10, Female, Spatial, 4, mid_l_top, -27.05, 4.48, -5.4, -27.05, 4.121169, -3.715517, 1.722279, , , 
pilot10, Female, Spatial, 5, far_l_mid_mid, -51, 3.02, -2.86, -51, 3.19547, -4.311546, 1.462114, , , 
pilot10, Female, Spatial, 6, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 2.751609, 5.427457, 0.7171556, , , 
pilot10, Female, Temporal, 1, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 1.1020455, -0.6279545
pilot10, Female, Temporal, 2, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 2.1266156, 0.3966156
pilot10, Female, Temporal, 3, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 1.9343931, -3.0356069
pilot10, Female, Temporal, 4, far_l_midmid_top, -51, 4.48, -4.11, , , , ,8.25, 2.7176186, -5.5323814
pilot10, Female, Temporal, 5, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 0.1266086, -8.1233914
pilot10, Female, Temporal, 6, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 0.2082791, -4.7617209
pilot10, Female, Spatial, 1, far_l_midmid_bottom, -51, 0.086, -4.11, -51, 2.612139, -2.726419, 2.880221, , , 
pilot10, Female, Spatial, 2, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 2.358501, 5.922014, 1.198636, , , 
pilot10, Female, Spatial, 3, front_l_top_mid, -1.78, 3.36, -5.31, -1.78, 1.546913, -4.463704, 2.000875, , , 
pilot10, Female, Spatial, 4, far_r_mid_top, -51, 4.48, 3.09, -51, 7.139261, 5.681094, 3.712875, , , 
pilot10, Female, Spatial, 5, mid_l_top, -27.05, 4.48, -5.4, -27.05, 4.273343, -4.019859, 1.395527, , , 
pilot10, Female, Spatial, 6, mid_r_midmid_bottom, -27.05, 0.086, 4.55, -27.05, -0.3805673, 6.708218, 2.208073, , , 
pilot10, Female, Temporal, 1, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 2.655794, -5.594206
pilot10, Female, Temporal, 2, front_l_mid, -1.78, 2.48, -5.31, , , , ,1.73, 1.8376856, 0.1076856
pilot10, Female, Temporal, 3, far_r_top_mid, -51, 3.36, 5.94, , , , ,8.25, 4.254057, -3.995943
pilot10, Female, Temporal, 4, front_l_midmid_bottom, -1.78, 0.086, -4.11, , , , ,1.73, 2.734547, 1.004547
pilot10, Female, Temporal, 5, front_r_bottom, -1.78, 0.086, 5.94, , , , ,1.73, 1.5356575, -0.1943425
pilot10, Female, Temporal, 6, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 2.2696878, 0.5396878
pilot10, Female, Spatial, 1, far_l_mid_bottom, -51, 0.086, -2.86, -51, 0.3802758, -4.501761, 1.667927, , , 
pilot10, Female, Spatial, 2, far_r_midmid_top, -51, 4.48, 4.55, -51, 5.63022, 7.177453, 2.86819, , , 
pilot10, Female, Spatial, 3, front_l_top, -1.78, 4.48, -5.31, -1.78, 3.854851, -2.84054, 2.54736, , , 
pilot10, Female, Spatial, 4, mid_l_bottom_mid, -27.05, 1.16, -5.31, -27.05, 1.44549, -1.5978, 3.723161, , , 
pilot10, Female, Spatial, 5, front_r_mid_bottom, -1.78, 0.086, 3.09, -1.780002, 0.2788199, 4.831451, 1.752094, , , 
pilot10, Female, Spatial, 6, mid_r_bottom, -27.05, 0.086, 5.94, -27.05, 1.61034, 6.289746, 1.563949, , , 
pilot10, Female, Temporal, 1, far_l_top_mid, -51, 3.36, -5.31, , , , ,8.25, 3.263154, -4.986846
pilot10, Female, Temporal, 2, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 0.9933495, -0.7366505
pilot10, Female, Temporal, 3, far_r_midmid_top, -51, 4.48, 4.55, , , , ,8.25, 4.301653, -3.948347
pilot10, Female, Temporal, 4, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 1.8180125, 0.0880124999999998
pilot10, Female, Temporal, 5, mid_r_midmid_bottom, -27.05, 0.086, 4.55, , , , ,4.97, 2.0798174, -2.8901826
pilot10, Female, Temporal, 6, far_l_top, -51, 4.48, -5.417, , , , ,8.25, 1.9666492, -6.2833508
pilot10, Female, Spatial, 1, far_r_mid_mid, -51, 3.02, 3.09, -51, 3.423729, 5.161171, 2.110154, , , 
pilot10, Female, Spatial, 2, mid_r_bottom_mid, -27.05, 1.16, 5.94, -27.05, 0.1647148, 8.597676, 2.837928, , , 
pilot10, Female, Spatial, 3, front_l_mid_top, -1.78, 4.48, -2.86, -1.78, 3.550511, -4.108636, 1.556613, , , 
pilot10, Female, Spatial, 4, front_l_bottom_mid, -1.78, 1.16, -5.31, -1.780002, 2.282418, 4.768045, 10.14036, , , 
pilot10, Female, Spatial, 5, far_r_top_mid, -51, 3.36, 5.94, -51, 0.4944049, 4.653932, 3.140956, , , 
pilot10, Female, Spatial, 6, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.333157, -2.840532, 8.78778, , , 
pilot10, Female, Temporal, 1, mid_r_mid_top, -27.05, 4.48, 3.09, , , , ,4.97, 2.3035063, -2.6664937
pilot10, Female, Temporal, 2, far_r_bottom, -51, 0.086, 5.94, , , , ,8.25, 0.8630973, -7.3869027
pilot10, Female, Temporal, 3, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 0.8956237, -0.8343763
pilot10, Female, Temporal, 4, front_l_midmid_top, -1.78, 4.48, -4.11, , , , ,1.73, 0.6390982, -1.0909018
pilot10, Female, Temporal, 5, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 1.5502163, -3.4197837
pilot10, Female, Temporal, 6, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 1.6958098, -6.5541902
pilot10, Female, 
