Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot8, Male,1, Abacus_01,-1.78,0.086,4.55,-1.780001,1.242573,2.586917,2.278455,1.73,2.8018579,1.0718579, Ball_01,-51,3.02,-2.86,-51,2.282436,-0.7862245,2.201033,8.25,8.8463751,0.5963751, Car_03,-27.05,4.48,4.55,-27.05,2.700904,1.800692,3.274733,4.97,5.9503259,0.9803259
pilot8, Male,2, Boat_01,-51,3.02,3.09,-51,2.345834,1.242738,1.966437,8.25,8.0781513,-0.1718487, Doll_01,-27.05,0.086,-5.4,-27.05,1.039697,-3.043427,2.542238,4.97,2.8622288,-2.1077712, Bee_01,-1.78,3.36,-5.31,-1.78,0.532439,-4.6666,2.899839,1.73,2.3500345,0.6200345
pilot8, Male,3, Basketball_01,-1.78,2.48,-5.31,-1.78,1.470831,-3.474588,2.094555,1.73,3.5035215,1.7735215, Boomerang_01,-51,3.02,3.09,-51,2.282436,0.9383941,2.274513,8.25,8.4469947,0.1969947, Car_02,-27.05,1.16,5.94,-27.05,2.028818,1.813373,4.217095,4.97,5.7257382,0.7557382
pilot8, Male,4, Ball_02,-51,4.48,5.94,-51,2.459963,1.50904,4.869698,8.25,5.5983505,-2.6516495, Bunny_01,-27.05,0.086,-2.86,-27.05,1.44549,-1.914823,1.655769,4.97,4.0467172,-0.9232828, Bucket_01,-1.78,0.086,3.09,-1.780001,0.8875108,2.510831,0.9888659,1.73,3.0394901,1.3094901
pilot8, Male,5, Car_04,-1.78,4.48,-2.86,-1.780001,1.623006,2.586917,6.150718,1.73,4.9913849,3.2613849, Darts_01,-27.05,3.36,5.94,-27.05,0.8748473,-2.967341,9.247524,4.97,2.5914954,-2.3785046, Dinosaur_01,-51,4.48,-5.417,-51,2.282436,-0.9130343,5.011487,8.25,8.0625882,-0.1874118
pilot8, Male,6, Doll_03,-1.78,1.16,5.94,-1.780002,1.699088,3.005391,2.983713,1.73,2.6883548,0.9583548, DumpTruck_01,-27.05,4.48,5.94,-27.05,2.510693,2.016268,4.390199,4.97,4.9915139,0.0215139, Fish_01,-51,1.16,-5.31,-51,2.447288,-1.344189,4.169505,8.25,7.0238847,-1.2261153
pilot8, Male,7, Helicopter_01,-1.78,0.086,-5.36,-1.78,0.6846141,-3.943784,1.537533,1.73,2.2388723,0.5088723, Horse_01,-51,3.36,5.94,-51,1.559615,1.914832,4.409463,8.25,4.7359161,-3.5140839, Doll_02,-27.05,1.16,5.94,-27.05,2.168307,-1.19201,7.202933,4.97,5.8861973,0.9161973
pilot8, Male,8, Kite_01,-27.05,4.48,3.09,-27.05,3.068651,2.219163,1.658392,4.97,4.8164136,-0.1535864, Car_01,-1.78,2.48,-5.31,-1.78,4.197238,-3.791613,2.292249,1.73,3.006508,1.276508, Plane_01,-51,0.086,5.94,-51,1.876641,1.166652,5.098162,8.25,7.2158918,-1.0341082
pilot8, Male,9, Shield_02,-27.05,4.48,4.55,-27.05,1.851282,0.9891116,4.426069,4.97,6.590629,1.620629, Robot_01,-1.78,4.48,-2.86,-1.78,3.499789,-3.094159,1.007791,1.73,3.1513153,1.4213153, Rocket_01,-51,0.086,5.94,-51,1.825919,1.01448,5.223798,8.25,7.8536961,-0.3963039
pilot8, Male,10, RubberDuck_01,-51,4.48,-2.86,-51,2.599453,-1.686576,2.216615,8.25,6.110524,-2.139476, RollerSkate_01,-1.78,1.16,5.94,-1.780001,1.382063,2.257213,3.689476,1.73,3.9517794,2.2217794, Watergun_01,-27.05,2.69,-5.4,-27.05,2.142937,-2.079676,3.36509,4.97,5.3099762,0.3399762
