Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
control2, Female, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.016133, 3.905729, 2.142979, , , 
control2, Female, Spatial, 2, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.396565, -2.333308, 3.22332, , , 
control2, Female, Spatial, 3, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 2.358501, -6.315127, 3.457263, , , 
control2, Female, Spatial, 4, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, 3.474443, -8.039717, 5.188855, , , 
control2, Female, Spatial, 5, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 2.47263, -2.789816, 2.402587, , , 
control2, Female, Spatial, 6, far_r_midmid_bottom, -51, 0.086, 4.55, -51, 5.376601, 10.19554, 7.737088, , , 
control2, Female, Temporal, 1, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 4.9591642, 3.2291642
control2, Female, Temporal, 2, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 2.8792652, -2.0907348
control2, Female, Temporal, 3, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 6.7171243, -1.5328757
control2, Female, Temporal, 4, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 7.2941071, -0.9558929
control2, Female, Temporal, 5, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 2.4307925, -2.5392075
control2, Female, Temporal, 6, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 5.3758747, 3.6458747
control2, Female, Spatial, 1, far_l_bottom_mid, -51, 1.16, -5.31, -51, 0.6846274, -8.318746, 3.046068, , , 
control2, Female, Spatial, 2, mid_r_mid, -27.05, 2.69, 5.94, -27.05, -0.1523101, 9.117597, 4.263314, , , 
control2, Female, Spatial, 3, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, -0.5961647, 4.793407, 2.097329, , , 
control2, Female, Spatial, 4, mid_l_top, -27.05, 4.48, -5.4, -27.05, 5.959901, -10.37301, 5.188539, , , 
control2, Female, Spatial, 5, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 3.372975, 5.313328, 1.285998, , , 
control2, Female, Spatial, 6, far_l_mid_mid, -51, 3.02, -2.86, -51, -2.206651, 8.825987, 12.80157, , , 
control2, Female, Temporal, 1, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 4.5608175, -0.4091825
control2, Female, Temporal, 2, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 3.167557, 1.437557
control2, Female, Temporal, 3, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 4.079345, 2.349345
control2, Female, Temporal, 4, far_l_midmid_top, -51, 4.48, -4.11, , , , ,8.25, 2.560897, -5.689103
control2, Female, Temporal, 5, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 2.7036176, -5.5463824
control2, Female, Temporal, 6, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 4.3187287, -0.6512713
control2, Female, Spatial, 1, far_l_midmid_bottom, -51, 0.086, -4.11, -51, 1.090412, -9.891191, 5.867795, , , 
control2, Female, Spatial, 2, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 1.521552, 4.514426, 1.470708, , , 
control2, Female, Spatial, 3, front_l_top_mid, -1.78, 3.36, -5.31, -1.78, -0.5327671, -10.04333, 6.128464, , , 
control2, Female, Spatial, 4, far_r_mid_top, -51, 4.48, 3.09, -51, 7.443604, 7.152091, 5.028273, , , 
control2, Female, Spatial, 5, mid_r_midmid_bottom, -27.05, 0.086, 4.55, -27.05, 1.661062, 2.84053, 2.324459, , , 
control2, Female, Spatial, 6, mid_l_top, -27.05, 4.48, -5.4, -27.05, -0.4566493, -10.28424, 6.944518, , , 
control2, Female, Temporal, 1, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 4.1752695, -4.0747305
control2, Female, Temporal, 2, far_r_top_mid, -51, 3.36, 5.94, , , , ,8.25, 1.8073535, -6.4426465
control2, Female, Temporal, 3, front_l_mid, -1.78, 2.48, -5.31, , , , ,1.73, 1.6940971, -0.0359029
control2, Female, Temporal, 4, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 4.302369, 2.572369
control2, Female, Temporal, 5, front_r_bottom, -1.78, 0.086, 5.94, , , , ,1.73, 4.4954881, 2.7654881
control2, Female, Temporal, 6, front_l_midmid_bottom, -1.78, 0.086, -4.11, , , , ,1.73, 3.5160722, 1.7860722
control2, Female, Spatial, 1, front_l_top, -1.78, 4.48, -5.31, -1.78, -0.2030559, -10.4618, 6.962191, , , 
control2, Female, Spatial, 2, far_l_mid_bottom, -51, 0.086, -2.86, -51, 6.987085, -11.0198, 10.68678, , , 
control2, Female, Spatial, 3, far_r_midmid_top, -51, 4.48, 4.55, -51, 4.387485, 4.527122, 0.09530227, , , 
control2, Female, Spatial, 4, mid_r_bottom, -27.05, 0.086, 5.94, -27.05, 3.981679, 3.601386, 4.543725, , , 
control2, Female, Spatial, 5, mid_l_bottom_mid, -27.05, 1.16, -5.31, -27.05, 7.798644, 10.7154, 17.34604, , , 
control2, Female, Spatial, 6, front_r_mid_bottom, -1.78, 0.086, 3.09, -1.780001, 1.407423, 1.534397, 2.041093, , , 
control2, Female, Temporal, 1, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 1.9676523, 0.2376523
control2, Female, Temporal, 2, far_l_top_mid, -51, 3.36, -5.31, , , , ,8.25, 2.895092, -5.354908
control2, Female, Temporal, 3, far_r_midmid_top, -51, 4.48, 4.55, , , , ,8.25, 1.534846, -6.715154
